"Instrument_Id","Product_Type","Processing_Level","Product_Subtype","Product_Subtype_Desc","Attr","Data_Type","Unit"
"WE","CAL","Calibrated","WS","Wind","BOOM1_ALG_STATE_STABLE","ASCII_Integer","State"
"WE","CAL","Calibrated","WS","Wind","BOOM2_ALG_STATE_STABLE","ASCII_Integer","State"
"WE","CAL","Calibrated","WS","Wind","ROVER_STILL","ASCII_Integer","State"
"WE","DER","Derived","ANCILLARY","Ancillary","SCLK","ASCII_Real","s"
"WE","DER","Derived","ANCILLARY","Ancillary","LMST","ASCII_String","HH:mm:ss"
"WE","DER","Derived","ANCILLARY","Ancillary","LTST","ASCII_String","HH:mm:ss"
"WE","DER","Derived","ANCILLARY","Ancillary","SOLAR_LONGITUDE_ANGLE","ASCII_Real",""
"WE","DER","Derived","ANCILLARY","Ancillary","SOLAR_ZENITHAL_ANGLE","ASCII_Real",""
"WE","DER","Derived","ANCILLARY","Ancillary","ROVER_POSITION_X","ASCII_Real",""
"WE","DER","Derived","ANCILLARY","Ancillary","ROVER_POSITION_Y","ASCII_Real",""
"WE","DER","Derived","ANCILLARY","Ancillary","ROVER_POSITION_Z","ASCII_Real",""
"WE","DER","Derived","ANCILLARY","Ancillary","ROVER_VELOCITY","ASCII_Real","m/s"
"WE","DER","Derived","ANCILLARY","Ancillary","ROVER_PITCH","ASCII_Real","Pitch"
"WE","DER","Derived","ANCILLARY","Ancillary","ROVER_YAW","ASCII_Real","Yaw"
"WE","DER","Derived","ANCILLARY","Ancillary","ROVER_ROLL","ASCII_Real","Roll"
"WE","DER","Derived","ANCILLARY","Ancillary","MASTHEAD_AZIMUTH","ASCII_Real",""
"WE","DER","Derived","ANCILLARY","Ancillary","MASTHEAD_ELEVATION","ASCII_Real",""
"WE","DER","Derived","PS","Pressure","SCLK","ASCII_Real","s"
"WE","DER","Derived","PS","Pressure","LMST","ASCII_String","HH:mm:ss"
"WE","DER","Derived","PS","Pressure","LTST","ASCII_String","HH:mm:ss"
"WE","DER","Derived","PS","Pressure","PRESSURE","ASCII_Real","mbar"
"WE","DER","Derived","PS","Pressure","PRESSURE_UNCERTAINTY","ASCII_Real","mbar"
"WE","DER","Derived","PS","Pressure","TRANSDUCER","ASCII_Integer",""
"WE","DER","Derived","RHS","Relative Humidity","SCLK","ASCII_Real","s"
"WE","DER","Derived","RHS","Relative Humidity","LMST","ASCII_String","HH:mm:ss"
"WE","DER","Derived","RHS","Relative Humidity","LTST","ASCII_String","HH:mm:ss"
